崇明建设387(农工商),121.486545,31.61822,上海市, 上海市, 崇明县
涵青434店(伍缘折扣店),121.399966,31.104771,上海市, 上海市, 闵行区
绿园农贸市场(施文忠)（专卖）,125.191331,43.912165,吉林省, 长春市, 绿园区
沃尔玛华东百货有限公司上海五角场分店,121.520435,31.308473,上海市, 上海市, 杨浦区
西藏店,89.137982,31.367315,西藏自治区, 那曲地区, 申扎县
共富王,124.834705,47.553394,黑龙江省, 齐齐哈尔市, 富裕县
岚皋155(伍缘折扣超市),108.887181,32.242471,陕西省, 安康市, 岚皋县
城中(家得利),101.777361,36.606649,青海省, 西宁市, 城中区
关东江海店2,113.13537,22.554847,广东省, 江门市, 江海区
万丰店(加盟超市),106.654028,30.490221,四川省, 广安市, 广安区
联华快捷真如店(送关东曹八）,121.409127,31.253845,上海市, 上海市, 普陀区
ZZOC-上海弘阳农业有限公司,121.156438,31.246868,上海市, 上海市, 青浦区
上海肯德基有限公司洛川餐厅,121.470159,31.277455,上海市, 上海市, 闸北区
大臻莉农贸市场(吴春霞)（加盟）^,121.392525,31.149062,上海市, 上海市, 闵行区
中粮（江苏）食品有限公司,118.865458,31.341528,江苏省, 南京市, 高淳区
上海必胜客有限公司天山西路店,121.389909,31.212393,上海市, 上海市, 长宁区
鑫家园,104.125607,30.735781,四川省, 成都市, 成华区
上海必胜客有限公司锦秋路店,121.39211,31.325951,上海市, 上海市, 宝山区
上海金富门酒店有限公司,121.493387,31.402222,上海市, 上海市, 宝山区
上海必胜客有限公司万源城店,121.40101,31.154093,上海市, 上海市, 闵行区
302上海浦东好又多超市有限公司田林分公司,121.487899,31.249162,上海市, 上海市, 闸北区
联华百广店（加盟超市,106.654028,30.490221,四川省, 广安市, 广安区
田头超市平凉路店,121.48346,31.210155,上海市, 上海市, 黄浦区
桂东菜市场,121.428521,31.163331,上海市, 上海市, 徐汇区
杭州华商贸易有限公司-,120.177104,30.250004,浙江省, 杭州市, 上城区
九橙餐饮-虹漕园,121.414969,31.183106,上海市, 上海市, 徐汇区
高东菜场90号,116.346722,39.818093,北京市, 北京市, 丰台区
浙江金吉达海通食品有限公司,121.264266,30.199014,浙江省, 宁波市, 慈溪市
安吉祖名豆制食品有限公司,119.957202,29.159494,浙江省, 金华市, 义乌市
上海长宁豆制品厂有限公司,121.387616,31.213301,上海市, 上海市, 长宁区
碧江（家得利）,109.193705,27.716137,贵州省, 铜仁市, 碧江区
河南贵友实业有限公司,101.556307,34.51139,青海省, 黄南藏族自治州, 河南蒙古族自治县
2140沃尔玛华东百货有限公司上海浦江分店,121.423567,31.177107,上海市, 上海市, 徐汇区
世界路菜场16号,121.53262,31.327336,上海市, 上海市, 杨浦区
上海信韩食品有限公司,121.102625,31.203119,上海市, 上海市, 青浦区
联华华灵二店专卖,117.588382,37.648213,山东省, 滨州市, 阳信县
易初  杨高北路专卖,121.610923,31.313998,上海市, 上海市, 浦东新区
农工商大石化店(115),112.144579,23.018851,广东省, 云浮市, 云城区
上海禧沁贸易贸易有限公司,121.487899,31.249162,上海市, 上海市, 闸北区
昌硕科技（上海）有限公司,121.621546,31.139979,上海市, 上海市, 浦东新区
上海兼光食品有限公司长宁路店,121.402671,31.627319,上海市, 上海市, 崇明县
安通路菜场一店（马兰花）（专卖）,100.219589,26.887762,云南省, 丽江市, 古城区
上海欧尚超市有限公司闵行店,121.425623,31.020309,上海市, 上海市, 闵行区
西诺迪斯食品（上海）有限公司,121.44924,31.286566,上海市, 上海市, 闸北区
杨浦水丰菜店加盟（预付）,121.535717,31.30451,上海市, 上海市, 杨浦区
上海乐惠米业有限公司(买断3),121.508084,31.216223,上海市, 上海市, 黄浦区
华敏龙食品经营部,113.041154,23.711164,广东省, 清远市, 清城区
罗经市场2-9(陈东升)（加盟）,110.254766,19.835228,海南省, 海口市, 秀英区
青浦区练塘生鲜店加盟预付,121.051558,31.012822,上海市, 上海市, 青浦区
莘庄乐购,121.379225,31.124611,上海市, 上海市, 闵行区
威定海鲜贸易（上海）有限公司,121.487899,31.249162,上海市, 上海市, 闸北区
长岛联华（专卖加盟）,120.755996,38.077456,山东省, 烟台市, 长岛县
梅园菜场-阳洋,117.07681,28.268907,江西省, 鹰潭市, 月湖区
上海人可实业有限公司,121.437747,31.33876,上海市, 上海市, 宝山区
瞿溪341(伍缘折扣超市),121.420204,31.026462,上海市, 上海市, 闵行区
莘庄113(农工商),121.38521,31.111986,上海市, 上海市, 闵行区
朱行151(农工商),121.428732,31.128189,上海市, 上海市, 闵行区
崇明五效(华联供销),121.678058,31.545867,上海市, 上海市, 崇明县
唐镇4号,121.660427,31.215428,上海市, 上海市, 浦东新区
崇明南门46(农工商),121.535397,31.633565,上海市, 上海市, 崇明县
