source,target
上海七荣副食品经营部,上海浦众农贸市场经营管理有限公司,1.0
上海万有全豆制品有限公司奉贤分公司,上海梅园村餐饮管理有限公司（春晓店）,26.0
上海丰美副食品有限公司,上海市浦东新区荡湾小学（食堂）,12.0
上海力德尔食品有限公司,罗南,95.0
上海旭洋绿色食品有限公司,欧尚嘉定 177,28.0
上海阳洋豆业食品有限公司,平顺市场229号,25.0
苏州亿力多贸易有限公司,上海新欧尚超市有限公司外高桥店,1.0
V683-上海天成企业发展有限公司,上海联家超市有限公司徐汇店,6.0
上海怀乾贸易有限公司,上海龙辉餐饮管理有限公司荣乐西路店,109.0
上海清美绿色食品有限公司,淞南4125(世纪联华),17.0
上海市普陀区旺明城海鲜经营部,上海湘鄂情酒楼有限公司,16.0
大连翔祥食品有限公司,和民餐饮管理（上海）有限公司月星环球商业中心店,62.0
上海新景西餐食品有限公司,蓝蛙-南京店(玄武区),6.0
上海程辉食品有限公司,上海易买得超市长江店,13.0
松江区九亭镇沪亭北路218号,上海惠多超市有限公司,24.0
上海日野食用农产品销售有限公司,上海龙辉餐饮管理有限公司真北路店,3.0
上海海叶食用农产品有限公司,上海市虹口区第六中心小学（食堂）,6.0
嘉盈国际贸易（上海）有限公司,上海海底捞实业有限公司,1.0
上海凌昊食品销售有限公司,上海市甘泉外国语中学,9.0
上海新景西餐食品有限公司,蓝蛙-重庆二店,6.0
广东八记食品有限公司,上海龙辉餐饮管理有限公司新松江路店,3.0
上海东区老大房食品有限公司,华联锦秋,27.0
昆山融雪粮油制品有限公司,上海市金山区升港食品商店,11.0
上海紫燕食品有限公司,上海市长宁区川乐鸡店,3.0
上海汉康豆类食品有限公司,上海联家超市有限公司大场店,25.0
上海双汇大昌有限公司上海分公司,宿迁李猛,6.0
金华市开发区金谷粮油有限公司,沃尔玛田林店,5.0
上海斗品膳食品有限公司,南京斗南餐饮有限公司(金茂汇店),9.0
内蒙古东方万旗肉牛产业有限公司,上海小肥羊餐饮有限责任公司,9.0
上海紫燕食品有限公司,上海市闸北区夏勇熟食店,5.0
上海汉康豆类食品有限公司,杭城大酒店-殷行店,11.0
海南瑞今肉类食品有限公司上海分公司,上海环盛商业有限公司徐汇环贸广场第三分公司,192.0
上海万有全豆制品有限公司奉贤分公司,上海阳普集团公司配送中心（配送中原）,32.0
西郊国际农产品交易中心,上海平延农贸市场经营管理有限公司,116.0
益海嘉里食品营销有限公司,上海必胜客有限公司翔殷餐厅,2.0
上海意华食品有限公司,华润万家深圳东滨V+,2.0
上海力德尔食品有限公司,B1-1107a浦航小学0703a②学生,1.0
上海旭洋绿色食品有限公司,农工商40专卖,25.0
上海浦信蔬果专业合作社,上海联家超市有限公司莘庄店,209.0
上海汉康豆类食品有限公司,34.瑞富餐饮,29.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司光新路餐厅,5.0
Y351-上海良友海狮油脂实业有限公司,上海联家超市有限公司七宝店,2.0
上海市虹口区玲涛综合经营部,上海热带雨林沐浴有限公司,13.0
上海清美绿色食品有限公司,共富(联华),6.0
佳农食品(上海)有限公司,上海联家超市有限公司万达店,26.0
惠氏（上海）贸易有限公司,沃尔玛华东百货有限公司上海杨行分店,2.0
上海花冠营养乳品有限公司,临渭区新丽华商贸有限公司,9.0
广东壹号食品股份有限公司上海分公,上海七宝乐购购物中心有限公司,16.0
溧阳市中联豆制品消泡剂有限公司,上海欣晨豆业有限公司,12.0
上海艺杏食品有限公司,三角地梧州市场（专卖）（王道强）,22.0
广州安城人参有限公司,上海龙辉餐饮管理有限公司月星广场店,5.0
上海云阳食品有限公司,上海普陀沪村副食品商场,1.0
东莞九龙城食品有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,1.0
上海豪轩食品有限公司,上海锦华酒店管理有限公司,3.0
上海长生食品有限公司,上海乐购物流有限公司闵行分公司,2.0
领先食品（上海）发展有限公司,小南国,13.0
华升食品工厂股份有限公司,甄味（上海）国际贸易有限公司,1.0
上海润朗贸易有限公司,上海绿地优鲜超市有限公司,5.0
上海清美绿色食品有限公司,双禾超市加盟,18.0
江苏环宇康力科技有限公司,上海力德尔食品有限公司,62.0
上海清美绿色食品有限公司,北石（华联）,14.0
新疆青戈,上海萨莉亚餐饮有限公司真北路店,2.0
上海艺杏食品有限公司,上海紫谷制衣,2.0
上海新景西餐食品有限公司,上海伟航贸易,2.0
上海欣华冻品商行（上海西郊国际农产品交易中心）,上海青浦区华益民办小学,2.0
上海清美绿色食品有限公司,崇明建设(华联供销),10.0
益海嘉里食品营销有限公司,上海肯德基有限公司沪东餐厅,2.0
东方国际水产中心,延庆菜市场经营管理分公司,252.0
ZSLU-泰州市海陵区碧福食品有限公司,上海联家超市有限公司徐汇店,23.0
上海绿和园艺有限公司,上海必胜客有限公司陆翔路店,55.0
上海农产品中心批发市场,桂东菜市场,135.0
上海艺杏食品有限公司,苏州黄桥市场(李玉成)[专卖],17.0
北京市第五肉类联合加工厂,上海澳点食品有限公司,3.0
上海市闵行区刘存旺蔬菜经营部,上海江南春经贸有限公司,315.0
上海旭洋绿色食品有限公司,上海联家超市有限公司古北店,31.0
上海绿晓商贸有限公司,上海华申中外文化交流服务有限公司,30.0
上海京家粮有限公司,上海金山龙洁食品商行,1.0
烟台鼎丰科技有限公司,上海欣晨豆业有限公司,74.0
上海万有全豆制品有限公司奉贤分公司,家得利武进,31.0
上海八仙企业发展有限公司,上海蓝盛副食品有限公司,6.0
上海上实现代农业开发有限公司,上海上实物业管理有限公司,1.0
上海龙辉餐饮管理有限公司九六广场店,上海好客农业科技发展有限公司,982.0
益海嘉里食品营销有限公司,上海肯德基有限公司江苏路餐厅,1.0
上海展鲜食品销售有限公司,上海龙辉餐饮管理有限公司南方商城店,6.0
上海清美绿色食品有限公司,青石易盛客加盟预付,22.0
上海旭洋绿色食品有限公司,世纪联华仙霞专卖,29.0
上海长生食品有限公司,大润发大华店,3.0
上海万有全豆制品有限公司奉贤分公司,爱博市场,33.0
YXFC-港湾（上海）食品有限公司,上海联家超市有限公司共江店,2.0
浙江古越龙山绍兴酒股份有限公司酿造（沈永和酒厂）,上海樟鸿贸易有限公司,1.0
泰森华东食品发展有限公司,乐购超市锦绣店,3.0
上海东区老大房食品有限公司,世纪联华华漕店,25.0
上海诚味食品有限公司,上海龙辉餐饮管理有限公司七莘路店,44.0
上海汉康豆类食品有限公司,上海新白鹿餐饮有限公司第一分公司,8.0
上海汉康豆类食品有限公司,24.联华丁香店,29.0
上海越哲食品有限公司,秦皇岛宝园斋食品,8.0
上海江杨农产品批发市场经营管理有限公司,上海康胜快餐有限公司,416.0
上海双汇大昌有限公司上海分公司,泗洪县康之源食品有限公司,6.0
上海惠寿食品有限公司,上海祥坤餐饮有限公司,306.0
上海好胜贸易有限公司,上海龙辉餐饮管理有限公司南方商城店,28.0
嘉兴市嘉祺贸易有限公司,沃尔玛江桥店,40.0
上海玉峰食品有限公司（朱玉峰）,上海龙辉餐饮管理有限公司周浦万达店,10.0
金源食品,上海浦众农贸市场经营管理有限公司,5.0
上海宝山区阳伍水产经营部,上海牡丹酒家经营管理有限公司餐饮分公司,4.0
上海汉康豆类食品有限公司,上海新白鹿餐饮有限公司,15.0
安吉祖名豆制食品有限公司,真北乐购,174.0
上海冯达豆类食品有限公司,八号桥161#,22.0
上海光茂食品有限公司第一分公司,上海味先丰食品有限公司,52.0
上海清美绿色食品有限公司,元华金汇加盟超市 （月结1）,7.0
招远市康钩食品有限公司,上海金文食品有限公司,1.0
上海阳洋豆业食品有限公司,大境菜场29号（阳洋）朱龙,23.0
中粮食品营销有限公司上海分公司,上海龙华乐购生活购物有限公司,31.0
上海新景西餐食品有限公司,江阴黄嘉喜来登酒店（黄嘉酒店有限公司）,23.0
上海旭洋绿色食品有限公司,易初  新天地,13.0
上海汉康豆类食品有限公司（豆制品）,上海盛桥农贸市场经营管理有限公司,35.0
上海双汇大昌有限公司上海分公司,长治市城区金河商贸中心,2.0
上海汉康豆类食品有限公司,宝山公安分局第三食堂,19.0
上海唐人神肉制品有限公司,上海兼光食品有限公司,2.0
上海越哲食品有限公司,湖南邵阳-林明辉,8.0
上海澳犇国际贸易有限公司,上海龙辉餐饮管理有限公司时代广场店,2.0
泰国藩泰诺华星制造有限公司,上海金文食品有限公司,1.0
上海宏辉食品有限公司（自采）,上海通河永辉超市有限公司,41.0
上海花冠营养乳品有限公司,德安县敏安批发,2.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司通河路店,1.0
上海市嘉定区真新街道杨氏肉类经营部,上海湘贵餐饮管理有限公司,104.0
上海力德尔食品有限公司,打浦路小戴,40.0
上海松江粮油购销有限公司泖港粮库,松江区序兆农产品经营部,13.0
上海清美绿色食品有限公司,上海六和勤强食品有限公司(六和加盟福泉店),8.0
上海九雅堂食品有限公司,李先生,1.0
上海清美绿色食品有限公司,凌兆89（华联）,18.0
上海锐洲粮油有限公司,上海裕兴汽车销售服务有限公司,2.0
上海意华食品有限公司,华润万家广州中山利和,1.0
特易购商业（上海）有限公司河南南路,益海嘉里食品营销有限公司,4.0
上海适达餐饮管理有限公司冰淇淋加工厂,昌里路,41.0
内蒙古中敖食品有限公司,上海洪场电子商务有限公司,1.0
上海良友海狮油脂实业有限公司油脂厂,上海普陀饮食有限责任公司宜川饭店,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司共和餐厅,11.0
