label,x,y
太仓仓建,121.15897767248318,31.571904296415354
上海乓乓响农副产品配送股份有限公司,121.5490354637873,31.287159545105656
上海乓乓响农副产品配送股份有限公司,121.5490354637873,31.287159545105656
上海益来副食品销售有限公司分公司,121.43729999972543,31.01077684680074
泉州市安溪颖如丫丫坊,117.91163244342899,25.1256841382452
林昌桥,110.51797750043741,19.745339632854872
上海市金山区姚菊芬副食品经营部,121.24840817975154,30.83508077708232
山东众康食品有限公司,117.88766852124475,36.882781504364814
阳江市阳东县北惯镇东莺新村爱德宝妇婴用品店,112.01198707750436,21.861953017016805
朗道客(上海)贸易有限公司,121.48789948569473,31.24916171001514
上海老城隍庙小吃世界有限公司宝山店,121.50250065574208,31.38696338316903
常熟1店欧尚,120.8314859651577,31.669446047798115
上疏永辉冬融店,114.19167077977086,22.282306862835647
八号桥158#,121.4773366705251,31.216780700747886
上海市闵航区张荣贵蔬菜经营部,121.32064730652232,30.77177363438988
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
深圳市同利源农业发展有限公司,114.0259736573215,22.546053546205247
长春上座餐厅,125.31364242720072,43.89833760709784
19.古美,116.7127298803016,23.62501456876456
滕州市天益工贸有限公司,117.14761619529622,35.06579087186232
(蔷薇)上海沀仪餐管理有限公司,121.39321918896051,31.196665232671613
赣州市于都鸿盛商行,115.50889266701078,25.93677166072324
0416龙水南路专卖店,121.4614318067589,31.15983291841685
上海市贝婴室母婴店,121.48789948569473,31.24916171001514
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海市虹口区呈刚食品店,121.49191854079479,31.28249722898657
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
上海绿捷实业发展有限公司,106.5632174525546,29.584369741983473
益客,103.99947583081814,30.650060437654567
上海市浦东新区沪东新村街道鸿江禽蛋经营部,121.5893787235626,31.282344396172718
上海环盛商业有限公司,121.48789948569473,31.24916171001514
于万发,121.41635965942302,46.23875297765111
无锡3店欧尚,120.30545590053595,31.57003745192303
宝山区崇海食品,131.5648359275195,46.529227981900426
上海市普陀区详明南北干货,121.37982875148627,31.231653316945653
诚信调味品经营部,103.981130981541,30.59629487899557
上海市农业学校（教工食堂）,121.16927969390309,30.91050396324284
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
上海玉峰食品有限公司（朱玉峰）,121.48789948569473,31.24916171001514
