source,target
上海东区老大房食品有限公司,联华江桥,40.0
安吉祖名豆制食品有限公司,上海绿叶农副产品市场经营管理有限公司同泰北路市场分公司,154.0
ZZNY YT19-青岛何氏牛业有限公司,上海联家超市有限公司徐汇店,2.0
上海程辉食品有限公司,上海酷卡食品有限公司,3.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司新宜街餐厅,30.0
上海尼卡其诺食品销售有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,7.0
上海鸿澎食品有限公司,上海朗富快餐盒饭有限公司,2.0
上海清美绿色食品有限公司,联华上川路加盟,30.0
上海永诚食品有限公司,上海添祺贸易有限公司,2.0
上海东区老大房食品有限公司,世纪联华成山店,7.0
上海市老大同食品有限公司,上海市南市区乔家栅食品厂,4.0
上海旭洋绿色食品有限公司,大润发  大华,2.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司高行万嘉店,3.0
一诚食品经营部,上海市普陀区辉仁华饭店,46.0
上海新景西餐食品有限公司,麦德龙-张冠华,58.0
上海紫燕食品有限公司,上海闵行超十万熟食店,4.0
锦江麦德龙现购自运有限公司,上海逸谷会餐饮有限公司,1.0
海亮明康汇物流有限公司,杭州金隅农贸市场店,202.0
上海润朗贸易有限公司,上海环盛商业有限公司世纪大道分公司,30.0
上海长生食品有限公司,大润发塘桥店,5.0
上海双汇大昌有限公司上海分公司,邯郸市腾远食品有限公司,11.0
上海都乐食品有限公司,上海新欧尚超市有限公司蒙山北路店,5.0
上海越觅果业有限公司,上海珍达碗餐饮管理有限公司沪青平公路分公司,258.0
上海清美绿色食品有限公司,上海北桥集贸市场经营管理有限公司,19.0
徐州一统食品工业有限公司,上海花冠营养乳品有限公司,1.0
上海崇明肉食品有限公司,上海崇明港沿农贸市场经营管理有限公司,90.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司卫清西路餐厅,2.0
广州安城人参有限公司,上海龙辉餐饮管理有限公司月星广场店,5.0
上海汉康豆类食品有限公司,怡乐食上海进才学校国际部,9.0
上海紫燕食品有限公司,上海市松江区永丰街道梅刚熟食店,7.0
上海爱樱食品有限公司,上海龙辉餐饮管理有限公司南方商城店,11.0
（刘齐书）上海市金山区刘齐书水产品经营部,上海绩申酒店管理有限公司,155.0
上海清美绿色食品有限公司,特易购商业（上海）有限公司大渡河路分公司,20.0
欧源,上海月浦蔬菜交易市场经营管理有限公司,31.0
上海恒茸农业科技有限公司,海亮明康汇物流有限公司,1.0
上海圣华副食品有限公司,上海龙华乐购生活购物有限公司,195.0
上海花冠营养乳品有限公司,盐城天使贝贝,16.0
傲意国际贸易（上海）有限公司,上海二十一世纪酒店有限公司,2.0
上海乓乓响农副产品配送有限公司,上海市浦东新区小叮当幼儿园（南园）,46.0
上海清美绿色食品有限公司,雏鹰农牧国顺东路店 王敬福,7.0
上海徐汇区怀田副食品商店（郭前进）,上海市徐汇区欣建副食品经营部,1.0
大象（北京）有限公司,上海日生食品物流有限公司,1.0
上海汉康豆类食品有限公司,02.新广粤,27.0
上海糖汇实业有限公司,贝帝鲜（上海）食品有限公司,1.0
益海嘉里食品营销有限公司,东方既白（上海）餐饮管理有限公司碧波路店,7.0
上海汉康豆类食品有限公司,02.曙光西院,8.0
上海清美绿色食品有限公司,南翔店（家得利）,50.0
上海都乐食品有限公司,沃尔玛华东百货有限公司上海杨行分店,4.0
上海鼎腾食品有限公司,上海市第一人民医院,408.0
上海新景西餐食品有限公司,飞狐西餐厅,38.0
上海浦南农产品批发市场,上海市金山区方寿食品店,1.0
上海,上海品月餐饮管理有限公司普陀分公司,531.0
上海艺杏食品有限公司,同济大学嘉苑快餐二 H,11.0
上海东区老大房食品有限公司,联华桂林,7.0
上海市闵行区梅士华肉类经营部,上海悦盈餐饮管理有限公司青浦分公司,4.0
上海市嘉定区华亭镇赵宝斌水果经营部,上海市宝山区好享购商行,26.0
上海日野食用农产品销售有限公司,上海龙辉餐饮管理有限公司七莘路店,8.0
上海世福食品有限公司第一分公司,团结,2.0
金华市新民果品有限公司,沃尔玛甘泉店,1.0
上海新景西餐食品有限公司,上海卓毅冻品行,49.0
上海服德工贸有限公司,上海华润万家超市有限公司悦达店,2.0
上海澳莉嘉食品有限公司宝山分公司,泰康-西点,259.0
上海冯达豆类食品有限公司,喜满菜场,19.0
连云港雅玛珂紫菜有限公司,上海峰二食品有限公司,1.0
上海本义信息科技有限公司,上海市甘泉外国语中学,19.0
上海清美绿色食品有限公司,乐购大卖场(莘庄店),32.0
上海阳洋豆业食品有限公司,政通市场56号,30.0
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司徐泾店,2.0
