source,target
上海双汇大昌有限公司上海分公司,繁昌立源商贸有限责任公司,7.0
上海双汇大昌有限公司上海分公司,淮安市清河区三洋酒业经营部,3.0
上海新景西餐食品有限公司,锦江饭店,77.0
上海金文食品有限公司,上海龙辉餐饮管理有限公司东郊百联店,60.0
上海旭洋,上海旭洋绿色食品有限公司,1.0
ZSLU-泰州市海陵区碧福食品有限公司,上海联家超市有限公司真北店,2.0
杭州澳门豆捞食品有限公司,甄味（上海）国际贸易有限公司,1.0
海亮明康汇物流有限公司,私立诸暨高级中学,105.0
上海清美绿色食品有限公司,青浦绿欣加盟预付,32.0
上海东方食品有限公司,戬浜菜场,31.0
青岛万福方和,上海日生食品物流有限公司,1.0
安吉组名豆制品食品有限公司,徐汇龙华副产品市场@000368,21.0
上海清美绿色食品有限公司,欧润发超市（单位加盟）,32.0
上海阳洋豆业食品有限公司,春晖市场1号,26.0
上海斗品膳食品有限公司,温岭市城西雅博牛排餐厅,11.0
（杨静欢）上海市金山区鑫扬副食品商店,上海绩申酒店管理有限公司,3.0
上海宝山区小窦水产行,上海牡丹酒家经营管理有限公司餐饮分公司,41.0
上海艺杏食品有限公司,上海合阳综合市场经营管理部,15.0
上海爱樱食品有限公司,上海市闵行区新哥肉制品经营部,1.0
上海清美绿色食品有限公司,崇明新民店(华联供销),21.0
上海汉康豆类食品有限公司,32.好食连锁-同普店4号店,1.0
上海天谱乐食食品（上海）有限公司,上海环盛商业有限公司黄浦大时代第四分公司,52.0
上海东区老大房食品有限公司,世纪联华闸北柳营路店,3.0
大连长兴米业有限公司,上海兼光食品有限公司第三分公司,545.0
平邑县六和发达食品有限公司,上海新景西餐食品有限公司,4.0
益海嘉里食品营销有限公司,上海莘松乐购生活购物有限公司,3.0
兴业源集团,沃尔玛甘泉店,1.0
湖北神鹭禽业发展有限公司,上海光茂食品有限公司第一分公司,1.0
上海杰升食品厂,陈六元,3.0
上海清美绿色食品有限公司,元华杨思店（加盟超市）,32.0
上海江杨农产品物流有限公司,上海第七构件厂,4.0
上海艺杏食品有限公司,姑香苑市场1号(李翔)[加盟],20.0
上海椰椰食品有限公司,廊坊东松（韩东宁）,3.0
上海越哲食品有限公司,安徽宿州-王奎林,8.0
中盐上海市盐业公司,上海华晨食品有限公司,1.0
上海大昌行食品工业有限公司,联华超市   桃浦#,1.0
上海龙上农副产品批发市场,港宝彩印（上海）有限公司,6.0
上海八仙食品有限公司,上海德复餐饮管理有限公司,1.0
祖名豆制品专卖,上海甘泉集贸市场经营管理有限公司,29.0
江苏射阳县大米实业有限公司,上海蓝田农贸市场经营管理有限公司,2.0
Z10V-泰森华东食品发展有限公司,上海联家超市有限公司南翔店,156.0
上海兼光食品有限公司第三分公司,上海兼光食品有限公司第四分公司,32.0
佳农食品（上海）有限公司,沃尔玛南浦大桥店,45.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司宝龙餐厅,4.0
上海越哲食品有限公司,湖北省-吴小高,12.0
上海江杨农产品物流有限公司,天发食品,1.0
上海市闵行区荣孙肉制品经营部,上海龙辉餐饮管理有限公司东郊百联店,66.0
上海陇南肉类批发,上海好客农业科技发展有限公司,1.0
东方国际水产中心,上海嘉定菊胜集贸市场经营管理有限公司,56.0
上海德丰食品工业有限公司,重庆新同利,3.0
上海市普陀区易志强肉类经营部,上海新古浪餐饮有限公司,126.0
上海每人美食品有限公司,东方航空食品浦东,51.0
上海盛远贸易商行,上海北沙滩置业有限公司白金湾悦榕酒店,9.0
上海展富食品有限公司,（港汇店）上海港丽餐饮管理有限公司港汇广场店,134.0
上海龙上农副产品批发市场经营管理有限公司,英国学校,5.0
