source,target
上海汉康豆类食品有限公司,17.绿景菜场,3.0
上海澳莉嘉食品有限公司宝山分公司,上海第一食品连锁店商店(梅陇店),28.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司瞿溪餐厅,2.0
上海泉发食品有限公司,台州,2.0
上海群天贸易有限公司,上海龙辉餐饮管理有限公司仲盛世界商城店,18.0
上海清美绿色食品有限公司,永春363(农工商),4.0
上海清美绿色食品有限公司,上海徐南菜市场经营管理有限公司,2.0
上海弘鼎食品有限公司,上海真锅咖啡餐饮管理有限公司,158.0
上海清美绿色食品有限公司,上海真北副食品经营管理有限公司,4.0
上海慈杨快餐有限公司,神稻橡塑有限公司,1804.0
多美滋婴幼儿食品有限公司,义乌市军梦供应链管理有限公司,5.0
上海清美绿色食品有限公司,沃尔玛高行店,2.0
太仓市沙溪镇英格玛塑料制品厂,上海慧源饮用水有限公司,1.0
山东鲁花集团商贸有限公司上海,沃尔玛华东百货有限公司上海杨行分店,2.0
上海笃兴商贸有限公司,上海蓝溪实业有限公司竞衡假日酒店,1.0
上海艺杏食品有限公司,宝钢2炼钢,1.0
上海清美绿色食品有限公司,文化349(伍缘折扣超市),2.0
江苏泰森食品有限公司,上海紫燕食品有限公司,1.0
上海鲁涛副食品有限公司,上海市静安区洪娘饭店,8.0
吉林普康有机农业有限公司,锦江麦德龙现购自运有限公司普陀商场,18.0
上海万有全豆制品有限公司奉贤分公司,家得利沪东店,3.0
安徽省顺安农产品销售有限公司,上海紫燕食品有限公司,3.0
上海清美绿色食品有限公司,通北加盟,6.0
上海虹口糕团食品厂,老正兴店,44.0
上海汉康豆类食品有限公司,32.关东铜川店,3.0
上海宝桥食品有限公司,上海梅龙镇伊势丹百货有限公司,15.0
上海怀乾贸易有限公司,上海龙辉餐饮管理有限公司荣乐西路店,6.0
上海樟鸿贸易有限公司,上海龙辉餐饮管理有限公司百联又一城店,1.0
上海汉康豆类食品有限公司,宝山公安分局第三食堂,3.0
上海市金山区王传明鲜肉店,上海金圩餐饮有限公司,3.0
上海汉康豆类食品有限公司,16.家乐福联洋店,1.0
上海汉康豆类食品有限公司,上海绿叶农副产品市场经营管理有限公司,42.0
上海清美绿色食品有限公司,内江26（伍缘折扣超市）,2.0
铜川路-高保辉,上海锦燕餐饮管理有限公司,1.0
上海汉康豆类食品有限公司,联华奉浦店2,2.0
上海清美绿色食品有限公司,四季生鲜超市加盟（预付）,2.0
上海清美绿色食品有限公司,控江8(华联吉卖盛),4.0
上海力德尔食品有限公司,徽宁路6号,4.0
上海申善副食品经营部,宝钢集团宝山宾馆,2.0
上海清美绿色食品有限公司,乐购大卖场(金山店),2.0
上海艺杏食品有限公司,罗泾电厂-交大后勤,1.0
北京中冷物流股份有限公司,2056沃尔玛华东百货有限公司上海高行分店,7.0
上海田冉食品有限公司,上海环盛商业有限公司黄浦大时代第四分公司,6.0
上海清美绿色食品有限公司,齐齐哈尔91(伍缘折扣超市),2.0
上海汉康豆类食品有限公司,39.珍鼎中心厨房A2,2.0
益海嘉里食品营销有限公司,上海必胜客有限公司真北乐购店,1.0
上海冯达豆类食品有限公司,鑫都市场,1.0
上海适达餐饮管理有限公司广丰路分公司,人民广场,1.0
上海龙上农副产品批发市场经营管理有限公司,上海好好先生餐饮管理有限公司,2.0
上海力德尔食品有限公司,宁波路,6.0
上海市洁斯餐厅,上海市徐汇区荣云副食品商店,4.0
鼎香帅（上海）餐饮企业管理有限公司,上海市闸北区凯众小吃店,10.0
上海万有全豆制品有限公司奉贤分公司,黄浦区政府（索迪斯）,1.0
上海旭洋绿色食品有限公司,上海曹杨铁路市场经营管理有限公司农贸分公司,20.0
黑龙江优质长粒水稻生产基地,上海宝山聚丰集贸市场经营管理有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司钦州餐厅,1.0
上海阳洋豆业食品有限公司,泾东（阳洋）,4.0
上海旭洋绿色食品有限公司,无锡锦江麦德龙现购自运有限公司无锡锡山商场,2.0
上海市宝山区周东阳食品经营部,上海欣鹏大酒店有限公司,6.0
益海嘉里食品营销有限公司,欧尚（中国）投资有限公司,15.0
益海嘉里食品营销有限公司,上海元熙实业发展有限公司,26.0
上海雨润食品有限公司,上海呼玛商品交易市场经营管理有限公司,3.0
上海万有全豆制品有限公司奉贤分公司,家得利零陵,3.0
上海清美绿色食品有限公司,万航渡路1530号（专卖加盟）,2.0
上海艺杏食品有限公司,汉宫酒家（同盛店）H,1.0
上海艾米餐饮有限公司,上海盛丽光电科技有限公司,12.0
丸启水产品（上海）有限公司,上海日生食品物流有限公司,1.0
欧本咖啡（北京）有限公司,上海龙辉餐饮管理有限公司五角场店,2.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司人民路店,1.0
中粮肉食(上海）有限公司,上海邦邦超市有限公司,5.0
上海艺杏食品有限公司,娄门市场(林传国)[直营],1.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司徐汇华泾店,4.0
上海清美绿色食品有限公司,柳营店(世纪联华),6.0
上海旭洋绿色食品有限公司,联华加盟 百花,1.0
上海清美绿色食品有限公司,联华超市王彬店（预付）,2.0
上海香穗农业科技有限公司,上海东江实业有限责任公司,1.0
上海市金山区怀超蔬菜经营部,上海强丰果蔬种植专业合作社,75.0
上海花冠营养乳品有限公司,好孩子奶粉专卖店（原安庆市宿松县徐会亭）,1.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司佛罗伦萨广场餐厅,1.0
上海万有全豆制品有限公司,漕河泾菜市场,3.0
上海世达食品有限公司,上海龙辉餐饮管理有限公司长泰广场店,3.0
欧本咖啡（北京）有限公司,上海龙辉餐饮管理有限公司周浦万达店,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司徐泾餐厅,1.0
上海绿和园艺有限公司,上海必胜客有限公司金桥餐厅,5.0
上海韩玉,上海翼家菜市场经营管理有限公司,2.0
北京美泰味国际贸易有限公司,北京泰美味国际贸易有限公司,1.0
上海冯达豆类食品有限公司,西南10#,1.0
上海汉康豆类食品有限公司,怡乐上海耀中国际学校（古北）,2.0
上海樟鸿贸易有限公司,上海龙辉餐饮管理有限公司虹口龙之梦店,1.0
上海汉康豆类食品有限公司,41.真南临时,3.0
上海汉康豆类食品有限公司,13.兴泰市场,3.0
上海清美绿色食品有限公司,上海民鑫农贸市场经营管理有限公司,90.0
上海紫燕食品有限公司,上海市闵行区谢晓容熟食店,1.0
上海信邦食品工业有限公司,干巷市场,14.0
Z9ID-天谱乐食食品（上海）有限公司,上海联家超市有限公司莘庄店,5.0
上海汉康豆类食品有限公司,14.联华锦秋店,3.0
上海汉康豆类食品有限公司,10.吴淞,3.0
光明米业(集团)有限公司(买断3),上海联华超市发展有限公司 - 系统,353.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司张江餐厅,1.0
上海花冠营养乳品有限公司,宿州市灵璧县智爱母婴坊,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司新龙阳餐厅,1.0
上海汉康豆类食品有限公司,联华金山,1.0
上海亿欣食品销售有限公司,上海绿叶农副产品市场经营管理有限公司,3.0
安吉祖名豆制食品有限公司,安亭大润发,12.0
上海艺杏食品有限公司,合阳标准化市场(王岳西)（加盟）,2.0
领先食品（上海）发展有限公司,味之鲜-北京,10.0
上海清美绿色食品有限公司,上海泉慧贸易有限公司（加盟超市）,4.0
上海春鸣蔬菜专业合作社,上海联家超市有限公司莘庄店,22.0
上海展富食品有限公司,（花悦庭）汇京粹（上海）餐饮管理有限公司张江店（花悦庭）,3.0
上海康味实业有限公司第一分公司,台金兰（置地店）,1.0
上海清美绿色食品有限公司,家得乐加盟（春都店） 预付1 李金福,2.0
上海泰寰宇米业有限公司,锦江麦德龙现购自运有限公司普陀商场,2.0
上海金富食品有限公司,上海虹腾农副产品市场经营管理有限公司,3.0
上海清美绿色食品有限公司,黄河(联华),2.0
上海虹口糕团食品厂,梅岭北路店,44.0
如皋市东方食品有限公司,上海险富餐饮有限公司,3.0
上海艺杏食品有限公司,瞿溪路小区（李文英）,2.0
上海市闵行区新哥肉制品经营部,上海龙辉餐饮管理有限公司张杨路店,8.0
上海花冠营养乳品有限公司,上海奉贤爱婴家园母婴生活馆泰日店,1.0
深圳市鑫荣懋农产品股份有限公司,上海新欧尚超市有限公司金都路店,1.0
上海新景西餐食品有限公司,万豪虹桥大酒店（紫泰酒店管理）,2.0
上海欣晨豆业有限公司,上海市嘉定区江桥镇成校豆制品营业部,2.0
上海万有全豆制品有限公司,上海市金山区邱官坤食品店,2.0
安吉祖名豆制食品有限公司,新港卜蜂莲花,12.0
上海市普陀区小朱杂货店,上海晶采轩餐饮管理有限公司静安分公司,4.0
上海市宝山区青鲜菜市场食品店,上海宁江大酒店有限公司,2.0
上海花冠营养乳品有限公司,赣州市安远县天心镇敏青奶粉店,1.0
江西南昌双汇食品公司,上海天馨集贸市场经营管理有限公司,3.0
上海阳洋豆业食品有限公司,世界路菜场16号,4.0
西郊国际批发市场,上海阳普菜市场经营管理有限公司平昌街分公司,2.0
上海清美绿色食品有限公司,叶谢149(农工商),2.0
上海阳洋豆业食品有限公司,江南山水,1.0
上海清美绿色食品有限公司,吴杨加盟,2.0
上海清美绿色食品有限公司,灵泉联华（联华经销）,1.0
上海汉康豆类食品有限公司,新徐虹3,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司汇川餐厅,2.0
上海润朗贸易有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,3.0
上海信韩食品有限公司,上海信韩餐饮管理有限公司第十分公司,232.0
上海清美绿色食品有限公司,上海易买得超市有限公司瑞虹店,1.0
上海清美绿色食品有限公司,佳木斯店经销（隆昌区域）,1.0
华润五丰米业（中国）有限公司,沃尔玛高行店,5.0
上海清美绿色食品有限公司,御山路483店(伍缘折扣超市),2.0
上海汉康豆类食品有限公司,世纪联华顾村店,3.0
上海汉康豆类食品有限公司,玉兰,3.0
上海市徐汇区怀田副食品商店,上海龙辉餐饮管理有限公司七莘路店,13.0
