source,target
宇尧实业（上海）,上海浦东新区民办紫华中意幼儿园,24.0
上海艺杏食品有限公司,绿一社区,9.0
上海金文食品有限公司,上海龙辉餐饮管理有限公司仲盛世界商城店,30.0
上海市闸北区熠峰食品经营部,上海龙辉餐饮管理有限公司周浦万达店,19.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司八一餐厅,38.0
上海市嘉定区江桥镇梁建成肉类经营部,上海部落情餐饮服务管理有限公司,5.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司香港广场餐厅,31.0
上海澳莉嘉食品有限公司宝山分公司,龙之梦-中山公园店,253.0
上海艺杏食品有限公司,麦德龙闵行店--12,30.0
益海嘉里食品营销有限公司,上海必胜客有限公司吴中路餐厅,3.0
上海都乐食品有限公司,上海邻家超市有限公司威宁路分公司,13.0
上海长生食品有限公司,大润发武进店,1.0
北海宏远水产食品有限公司,上海市闵行区新哥肉制品经营部,1.0
山东枣庄华宝牧业有限公司,上海新景西餐食品有限公司,2.0
上海龙辉餐饮管理有限公司九六广场店,上海泽福食用菌种植专业合作社,68.0
上海龙军食品有限公司,上海北沙滩置业有限公司白金湾悦榕酒店,36.0
上海紫燕食品有限公司,上海益星日用百货经营部,3.0
上海市零陵北路21号,上海京家粮油有限公司,1.0
上海每多豆制品器具有限公司,上海七宝商城综合市场经营管理有限公司,5.0
上海福照得商贸有限公司,上海唐人神肉制品有限公司,21.0
苏州市佳和,上海红丽食品厂,16.0
上海艺杏食品有限公司,盘古菜市场（王其明）（加盟）,13.0
上海鸿玮粮油食品有限公司,上海君航大酒店有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司苗圃餐厅,6.0
上海力德尔食品有限公司,生鲜荟,55.0
Z10V-泰森华东食品发展有限公司,上海联家超市有限公司万达店,92.0
上海汉康豆类食品有限公司,宝教淞宝,4.0
上海浦星贸易有限公司(喜力),上海联华超市发展有限公司宛平南路店,6.0
上海欣晨豆业有限公司,招商市场,30.0
上海艺杏食品有限公司,普陀区教育服务配送中心《曹杨小学》,4.0
深圳市同利源农业发展有限公司,沃尔玛华东百货有限公司上海杨行分店,1.0
上海阳洋豆业食品有限公司,严家阁菜场32号,29.0
上海山林食品有限公司,上海东航航空公司,115.0
上海澳富盈食品贸易有限公司,上海锦德市场,2.0
上海范唐商贸有限公司,上海新白鹿餐饮有限公司第一分公司,19.0
上海艺杏食品有限公司,商丘市场36号(杨全英),21.0
上海力德尔食品有限公司,B1-1007园南中学 $1702②,2.0
上海艺杏食品有限公司,龙安市场(陈雪琴)（散户）^,30.0
上海东区老大房食品有限公司,联华栖山,9.0
上海长生食品有限公司,大润发松江店,5.0
上海旭洋绿色食品有限公司,家得利零陵专卖,7.0
上海张小宝绿色食品发展有限公司,上海平延农贸市场经营管理有限公司,28.0
上海在春商贸有限公司,上海顶发食品有限公司,8.0
上海睿畅贸易有限公司奉贤分公司,潘群香（吉买盛曹阳店）,2.0
上海艺杏食品有限公司,闵行紫竹园－N 索迪斯-M,6.0
上海力德尔食品有限公司,迎园中学（东）学生,4.0
上海山林食品有限公司,山林食品各门店,506.0
