source,target
中粮国际（北京）有限公司上海分公司,东方既白（上海）餐饮管理有限公司世纪大道店,16.0
上海捷仪经贸有限公司,上海萨莉亚餐饮有限公司大渡河路店,49.0
上海紫燕食品有限公司,上海市闸北区夏勇熟食店,3.0
上海紫燕食品有限公司,上海市闵行区隽力熟食店,4.0
九州糖业有限公司,上海鑫禾餐饮配送有限公司,1.0
上海裕田农业科技有限公司,世纪联华体育场店,1.0
上海家得利超市有限公司,103江川店,1.0
上海鑫品食品有限公司,欧尚（中国）投资有限公司闵行1店,2.0
上海跃进现代农业有限公司,光明米业（集团）有限公司,1.0
江苏澄星磷化工股份有限公司,上海嘉里食品工业有限公司,2.0
上海力德尔食品有限公司,B1-0811静安区第三中心小学2904①,4.0
上海志远果业,上海晶冠企业投资管理有限公司,9.0
上海力德尔食品有限公司,B1-0203a龙茗中学1104a①学生,5.0
上海康味实业有限公司第一分公司,台金兰（天目西路店）,2.0
上海正顶记贸易有限公司,梅林正广和便利连锁有限公司,6.0
上海西郊国际农产品交易中心有限公司,上海甘泉集贸市场经营管理有限公司,60.0
上海欧源豆类食品有限公司,马陆批发市场13,24.0
YSJE-北京湖西岛有机农业发展有限公司,上海联家超市有限公司七宝店,3.0
上海汉康豆类食品有限公司,怡乐食浦东美校,4.0
上海花冠营养乳品有限公司,沙坪坝区宝贝计划,5.0
上海汉康豆类食品有限公司,09.联华靖海店,25.0
上海力德尔食品有限公司,高陵路,93.0
弗派欣（上海）环保科技有限公司,上海外高桥进口商品直销中心有限公司,3.0
上海好客农业科技发展有限公司,上海龙辉餐饮管理有限公司淀山湖大道店,886.0
佳农食品有限公司,锦江麦德龙现购自运有限公司闵行商场,33.0
上海杰升食品厂,锦梅路面店,3.0
上海亿欣食品销售有限公司,上海七宝商城综合市场经营管理有限公司,18.0
上海力德尔食品有限公司,B2-1207徐汇实验小学 $1703②,1.0
上海都乐食品有限公司,沃尔玛南浦大桥店,32.0
上海汉康豆类食品有限公司,怡乐食海富幼儿园（虹桥路）,10.0
上海冯达豆类食品有限公司,虹朱路2#,1.0
上海飞莉食品有限公司,上海世福食品有限公司第一分公司,3.0
上海长生食品有限公司,大润发淮阴店,2.0
上海市闵行区新哥肉制品经营部,上海龙辉餐饮管理有限公司东郊百联店,63.0
上海旭洋绿色食品有限公司,锦江麦德龙现购自运有限公司嘉定商场,2.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司八一餐厅,31.0
上海长生食品有限公司,大润发湖州店,4.0
上海市普陀区招福水产行,上海普陀饮食有限责任公司宜川饭店,8.0
2、上海嘉里粮油工业有限公司,上海市宝钢新世纪学校,4.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司香港广场餐厅,29.0
上海市闵行区新哥肉制品经营部,上海龙辉餐饮管理有限公司南方商城店,435.0
上海市食品进出口有限公司,上海龙辉餐饮管理有限公司金山万达广场店,3.0
上海艺杏食品有限公司,麦德龙闵行店--12,35.0
金华禾景天食品有限公司,上海聚仙贸易有限公司,1.0
上海万旗食品有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,46.0
益海嘉里食品营销有限公司,上海必胜客有限公司吴中路餐厅,3.0
上海都乐食品有限公司,上海邻家超市有限公司威宁路分公司,6.0
上海津香食品有限公司,天津鑫海源食品有限公司,6.0
灵璧县卓越粮油贸易有限公司,上海汉康豆类食品有限公司,16.0
上海汉康豆类食品有限公司,珍鼎-上海社科院总部,9.0
上海龙辉餐饮管理有限公司九六广场店,上海泽福食用菌种植专业合作社,76.0
上海为民家禽加工经营部,上海九龙宾馆有限公司,15.0
上海紫燕食品有限公司,上海益星日用百货经营部,5.0
上海长生食品有限公司,大润发武进店,2.0
上海汉康豆类食品有限公司,上海巨鹿副食品市场经营管理有限公司第四分公司,13.0
上海花冠营养乳品有限公司,赣州市会昌县文武坝镇高升母婴奶粉超市,20.0
上海洪场电子商务有限公司,上海辉哥海鲜火锅餐饮有限公司桃江路店,1.0
上海射阳侃侃米业有限公司,上海新欧尚超市有限公司人民店,3.0
上海欣倍食品贸易有限公司,上海市浦东新区明珠森兰小学,30.0
上海市普陀区诚野农副产品经营部,上海龙辉餐饮管理有限公司宁国路店,4.0
上海阳洋豆业食品有限公司,疑和路50号,26.0
多美滋婴幼儿食品有限公司,长春百利贸易有限公司,8.0
